2Theta,Intensity
43.82935,659
43.85964,683
43.88993,710
43.92021,720
43.9505,733
43.98079,683
44.01107,662
44.04136,655
44.07165,674
44.10193,735
44.13222,639
44.16251,683
44.19279,731
44.22308,721
44.25337,794
44.28365,846
44.31394,813
44.34423,783
44.37451,787
44.4048,745
44.43509,780
44.46537,716
44.49566,697
44.52595,681
44.55623,711
44.58652,709
44.61681,669
44.64709,663
44.67738,596
44.70767,608
44.73795,574
44.76824,517
44.79853,519
44.82881,555
44.8591,511
44.88939,534
44.91967,564
44.94996,572
44.98025,587
45.01053,744
45.04082,829
45.07111,1013
45.10139,1236
45.13168,1416
45.16197,1422
45.19225,1281
45.22254,1236
45.25283,1106
45.28311,1081
45.3134,927
45.34369,767
45.37397,695
45.40426,648
45.43455,623
45.46483,605
45.49512,594
45.52541,537
45.55569,558
45.58598,555
45.61627,602
45.64655,591
45.67684,693
45.70713,641
45.73741,618
45.7677,600
45.79799,620
45.82827,585
45.85856,581
45.88885,566
45.91913,558
45.94942,527
45.97971,546
46.00999,551
46.04028,581
46.07057,583
46.10085,570
46.13114,621
46.16143,630
46.19171,633
46.222,609
46.25229,635
46.28257,560
46.31286,592
46.34315,548
46.37343,530
46.40372,531
46.43401,577
46.46429,626
46.49458,653
46.52487,604
46.55515,671
46.58544,662
46.61573,703
46.64601,673
46.6763,621
46.70659,625
46.73687,631
46.76716,578
46.79745,563
46.82773,593
46.85802,610
46.88831,695
46.91859,762
46.94888,777
46.97917,757
47.00945,722
47.03974,695
47.07003,730
47.10031,778
47.1306,782
47.16089,789
47.19117,766
47.22146,689
47.25175,636
47.28203,651
47.31232,689
47.34261,652
47.37289,598
47.40318,661
47.43347,630
47.46375,661
47.49404,639
47.52433,618
47.55461,636
47.5849,650
47.61519,646
47.64547,634
47.67576,662
47.70605,715
47.73633,688
47.76662,761
47.79691,805
47.82719,796
47.85748,864
47.88777,847
47.91805,815
47.94834,747
47.97863,772
48.00891,737
48.0392,752
48.06949,767
48.09977,814
48.13006,851
48.16035,843
48.19063,803
48.22092,823
48.25121,798
48.28149,832
48.31178,711
48.34207,668
48.37235,689
48.40264,656
48.43293,652
48.46321,666
48.4935,655
48.52379,654
48.55407,687
48.58436,703
48.61465,754
48.64493,714
48.67522,698
48.70551,736
48.73579,697
48.76608,762
48.79637,712
48.82665,733
48.85694,681
48.88723,753
48.91751,730
48.9478,728
48.97809,745
49.00837,738
49.03866,769
49.06895,776
49.09923,763
49.12952,823
49.15981,746
49.19009,737
49.22038,724
49.25067,748
49.28095,734
49.31124,686
49.34153,715
49.37181,661
49.4021,653
49.43239,650
49.46267,654
49.49296,637
49.52325,647
49.55353,595
49.58382,596
49.61411,628
49.64439,600
49.67468,625
49.70497,623
49.73525,654
49.76554,721
49.79583,676
49.82611,670
49.8564,649
49.88669,662
49.91697,645
49.94726,691
49.97755,696
50.00783,706
